region,response,term,median_beta,lower_beta,upper_beta,mean_beta,sd_beta
CBA,Prec,(Intercept),2312.88150841471,2294.03931654556,2324.17089997349,2312.20736880173,8.15880907813352
CBA,Prec,TipoSF_early,6.17646973997841,-0.26804965277498,12.8483173798449,6.31473409836685,4.16469757949493
CBA,Prec,TipoSF_intermediate,3.98922628448463,-10.0998122812723,13.2819155620653,3.65869614437853,6.58177480395089
CBA,Prec,TipoSF_advanced,16.5708361107787,-0.732974384151941,26.6187298412018,16.2551680799139,7.29765695328052
CBA,Prec,"ns(frac_area, df = 3)1",6.11992511158487,1.42542272883283,10.4632527968027,6.121077572708,2.60210791985923
CBA,Prec,"ns(frac_area, df = 3)2",1.82813373340074,-7.80259969276518,11.4299203382419,1.61148411618852,5.59706983878992
CBA,Prec,"ns(frac_area, df = 3)3",-1.14607327432613,-3.81288047678517,2.47776178639136,-1.00147959344879,2.01953042696356
CBA,Prec,"TipoSF_early:ns(frac_area, df = 3)1",2.55720389279206,-13.714417965775,20.3849320020542,2.36231282177991,10.4519255181515
CBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)1",-5.16969811813584,-19.071401912981,5.69700479275126,-5.99943441942781,7.03904961554918
CBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)1",-18.6605703314498,-32.3849365580981,-10.336282416252,-20.2654568644875,7.78275274948914
CBA,Prec,"TipoSF_early:ns(frac_area, df = 3)2",-38.7478981445758,-56.1362374286343,-14.7475326698533,-37.5239920465289,12.4496107541172
CBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)2",7.16207292006991,-18.9304562865951,40.3485459943559,5.57442571218201,16.1157284191758
CBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)2",-39.887235138811,-64.0466006298829,-3.54115436285949,-37.7495401764593,17.4222613629741
CBA,Prec,"TipoSF_early:ns(frac_area, df = 3)3",-23.6438673973679,-35.2847914649876,-6.43425014119002,-22.4546292000415,8.32389710057711
CBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)3",9.89568265700651,-0.569726532266704,23.3635104041305,10.8835328322574,6.03645633136077
CBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)3",1.37671149753152,-5.99066160329348,11.3002038140467,1.37116854610822,4.40085033070784
