region,response,term,median_beta,lower_beta,upper_beta,mean_beta,sd_beta
SBA,Prec,(Intercept),1914.63169674204,1884.17376253909,1949.97385341428,1915.06141013491,18.6721636544054
SBA,Prec,TipoSF_early,0.505803202139439,-5.4623767540599,8.71437488156567,0.947432894460142,4.15065180912818
SBA,Prec,TipoSF_intermediate,4.83897920276839,-2.60350446503755,12.1267486956,4.57020938586121,4.25111450416092
SBA,Prec,TipoSF_advanced,-8.83026348286857,-15.2737331385381,1.83787241755108,-8.30424367664099,4.76976745901044
SBA,Prec,"ns(frac_area, df = 3)1",2.67576552962669,-3.25285786653015,8.12238548262729,2.7555942701659,3.40013446655473
SBA,Prec,"ns(frac_area, df = 3)2",-15.7681514658002,-27.1539343039063,-2.85768929648385,-15.5749749005971,6.35012188215485
SBA,Prec,"ns(frac_area, df = 3)3",-21.5307611129574,-25.7046551416939,-14.0058629145201,-20.9579097070188,3.08495074940209
SBA,Prec,"TipoSF_early:ns(frac_area, df = 3)1",-13.9140752531324,-32.7992561574435,-3.61085058949084,-16.3080344211446,8.61986135243316
SBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)1",-6.84969660397649,-18.8781903978958,4.71396384239977,-7.40301923727637,7.53695868860988
SBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)1",6.27631478776263,-7.14514306316473,18.8040564562786,6.72354885795524,8.6271365179762
SBA,Prec,"TipoSF_early:ns(frac_area, df = 3)2",28.8054854562623,4.13764520556203,46.5468140613321,29.5666438513933,11.9408772920106
SBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)2",15.7343707596612,-2.47915978334037,31.0624538821933,15.8094109491518,9.65551509598879
SBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)2",12.1539901942896,-14.4910391018692,32.8106860117621,11.2334719209618,12.3063508380351
SBA,Prec,"TipoSF_early:ns(frac_area, df = 3)3",56.2730166938836,37.2363049720889,66.8364437722697,54.5912349401115,9.84904234588045
SBA,Prec,"TipoSF_intermediate:ns(frac_area, df = 3)3",23.2422546781803,16.6034710918136,31.0682875195333,23.8044002491739,4.41040470559855
SBA,Prec,"TipoSF_advanced:ns(frac_area, df = 3)3",17.0794947406326,-2.46754493603894,29.1283915625282,16.7441797756494,8.342100289878
